지점,지점명,일시,강수량(mm),적설(cm),3시간신적설(cm)
108,서울,2017-07-03 03:00,0,,
108,서울,2017-07-03 04:00,0,,
108,서울,2017-07-03 05:00,1,,
108,서울,2017-07-03 06:00,2.5,,
108,서울,2017-07-03 07:00,.5,,
108,서울,2017-07-03 08:00,0,,
108,서울,2017-07-03 09:00,1.5,,
108,서울,2017-07-03 10:00,0,,
108,서울,2017-07-03 18:00,0,,
108,서울,2017-07-03 19:00,1,,
108,서울,2017-07-04 01:00,0,,
108,서울,2017-07-04 02:00,0,,
108,서울,2017-07-04 04:00,.5,,
108,서울,2017-07-04 05:00,0,,
108,서울,2017-07-04 06:00,0,,
108,서울,2017-07-04 07:00,0,,
108,서울,2017-07-06 18:00,2,,
108,서울,2017-07-06 19:00,23,,
108,서울,2017-07-06 20:00,.5,,
108,서울,2017-07-06 21:00,8.5,,
108,서울,2017-07-07 07:00,0,,
108,서울,2017-07-07 09:00,.5,,
108,서울,2017-07-07 10:00,0,,
108,서울,2017-07-07 11:00,1,,
108,서울,2017-07-07 12:00,0,,
108,서울,2017-07-07 13:00,0,,
108,서울,2017-07-07 14:00,0,,
108,서울,2017-07-07 15:00,0,,
108,서울,2017-07-07 16:00,0,,
108,서울,2017-07-07 17:00,0,,
108,서울,2017-07-07 18:00,0,,
108,서울,2017-07-07 19:00,2,,
108,서울,2017-07-07 20:00,9,,
108,서울,2017-07-07 21:00,2,,
108,서울,2017-07-07 22:00,2,,
108,서울,2017-07-07 23:00,0,,
108,서울,2017-07-08 04:00,0,,
108,서울,2017-07-08 05:00,0,,
108,서울,2017-07-08 06:00,0,,
108,서울,2017-07-08 07:00,1.5,,
108,서울,2017-07-08 08:00,.5,,
108,서울,2017-07-08 09:00,1.5,,
108,서울,2017-07-08 10:00,.5,,
108,서울,2017-07-08 11:00,0,,
108,서울,2017-07-08 16:00,0,,
108,서울,2017-07-08 17:00,0,,
108,서울,2017-07-08 18:00,0,,
108,서울,2017-07-08 20:00,.5,,
108,서울,2017-07-08 21:00,0,,
108,서울,2017-07-08 22:00,0,,
108,서울,2017-07-09 03:00,8,,
108,서울,2017-07-09 04:00,0,,
108,서울,2017-07-09 05:00,0,,
108,서울,2017-07-09 06:00,0,,
108,서울,2017-07-09 07:00,.5,,
108,서울,2017-07-09 08:00,0,,
108,서울,2017-07-09 09:00,0,,
108,서울,2017-07-09 12:00,0,,
108,서울,2017-07-09 14:00,2,,
108,서울,2017-07-09 16:00,0,,
108,서울,2017-07-09 17:00,1,,
108,서울,2017-07-09 20:00,0,,
108,서울,2017-07-09 21:00,5,,
108,서울,2017-07-09 22:00,5.5,,
108,서울,2017-07-09 23:00,2.5,,
108,서울,2017-07-10 00:00,8,,
108,서울,2017-07-10 01:00,.3,,
108,서울,2017-07-10 02:00,.2,,
108,서울,2017-07-10 03:00,1,,
108,서울,2017-07-10 04:00,0,,
108,서울,2017-07-10 05:00,1,,
108,서울,2017-07-10 06:00,0,,
108,서울,2017-07-10 07:00,1,,
108,서울,2017-07-10 08:00,19.5,,
108,서울,2017-07-10 09:00,4.5,,
108,서울,2017-07-10 10:00,0,,
108,서울,2017-07-10 11:00,7,,
108,서울,2017-07-10 12:00,24.5,,
108,서울,2017-07-10 13:00,13.5,,
108,서울,2017-07-10 14:00,6.5,,
108,서울,2017-07-10 15:00,1,,
108,서울,2017-07-10 16:00,8.5,,
108,서울,2017-07-10 17:00,6.5,,
108,서울,2017-07-10 18:00,1,,
108,서울,2017-07-10 19:00,1,,
108,서울,2017-07-10 20:00,17.5,,
108,서울,2017-07-10 21:00,25,,
108,서울,2017-07-10 22:00,2.5,,
108,서울,2017-07-10 23:00,2.5,,
108,서울,2017-07-11 00:00,0,,
108,서울,2017-07-11 01:00,1,,
108,서울,2017-07-11 03:00,0,,
108,서울,2017-07-11 04:00,0,,
108,서울,2017-07-11 09:00,0,,
108,서울,2017-07-11 10:00,0,,
108,서울,2017-07-12 03:00,0,,
108,서울,2017-07-12 04:00,0,,
108,서울,2017-07-12 05:00,0,,
108,서울,2017-07-12 06:00,0,,
108,서울,2017-07-12 07:00,0,,
108,서울,2017-07-14 23:00,0,,
108,서울,2017-07-15 00:00,0,,
108,서울,2017-07-15 01:00,0,,
108,서울,2017-07-15 02:00,0,,
108,서울,2017-07-15 03:00,2.5,,
108,서울,2017-07-15 04:00,6.5,,
108,서울,2017-07-15 05:00,15,,
108,서울,2017-07-15 06:00,3.5,,
108,서울,2017-07-15 07:00,0,,
108,서울,2017-07-15 08:00,0,,
108,서울,2017-07-15 12:00,0,,
108,서울,2017-07-15 13:00,0,,
108,서울,2017-07-15 14:00,0,,
108,서울,2017-07-15 15:00,1.5,,
108,서울,2017-07-15 16:00,5.5,,
108,서울,2017-07-15 17:00,0,,
108,서울,2017-07-15 19:00,0,,
108,서울,2017-07-15 20:00,.5,,
108,서울,2017-07-15 21:00,.5,,
108,서울,2017-07-15 22:00,1,,
108,서울,2017-07-15 23:00,6,,
108,서울,2017-07-16 00:00,0,,
108,서울,2017-07-16 01:00,1,,
108,서울,2017-07-16 02:00,0,,
108,서울,2017-07-16 03:00,2,,
108,서울,2017-07-16 04:00,5.5,,
108,서울,2017-07-16 05:00,11.5,,
108,서울,2017-07-16 06:00,2.5,,
108,서울,2017-07-16 07:00,0,,
108,서울,2017-07-16 09:00,0,,
108,서울,2017-07-16 10:00,0,,
108,서울,2017-07-17 14:00,6.5,,
108,서울,2017-07-17 15:00,0,,
108,서울,2017-07-17 23:00,0,,
108,서울,2017-07-18 00:00,1,,
108,서울,2017-07-18 01:00,.2,,
108,서울,2017-07-18 02:00,.3,,
108,서울,2017-07-18 03:00,.5,,
108,서울,2017-07-18 04:00,0,,
108,서울,2017-07-18 05:00,0,,
108,서울,2017-07-18 06:00,1,,
108,서울,2017-07-18 07:00,0,,
108,서울,2017-07-18 08:00,0,,
108,서울,2017-07-18 09:00,.5,,
108,서울,2017-07-18 10:00,0,,
108,서울,2017-07-22 04:00,0,,
108,서울,2017-07-22 05:00,0,,
108,서울,2017-07-22 06:00,.2,,
108,서울,2017-07-22 07:00,.2,,
108,서울,2017-07-22 08:00,0,,
108,서울,2017-07-22 09:00,0,,
108,서울,2017-07-22 21:00,.1,,
108,서울,2017-07-22 22:00,0,,
108,서울,2017-07-23 00:00,0,,
108,서울,2017-07-23 01:00,.5,,
108,서울,2017-07-23 06:00,0,,
108,서울,2017-07-23 07:00,.5,,
108,서울,2017-07-23 08:00,7,,
108,서울,2017-07-23 09:00,31,,
108,서울,2017-07-23 10:00,38,,
108,서울,2017-07-23 11:00,21.5,,
